#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV
987,Memetic MEME,$0.16 ,0.00%,5.00%,-5.30%,"$7,110.55 ","$6,538,395 ",?,?
988,Jones DAO JONES,$1.59 ,-0.20%,4.50%,34.70%,"$720,897 ","$6,532,061 ","$15,933,939 ",0.41
989,NFTX NFTX,$15.45 ,0.80%,1.20%,15.90%,"$17,493.11 ","$6,459,901 ","$9,997,465 ",0.65
990,SaTT SATT,$0.00 ,3.40%,0.50%,-18.60%,"$91,495.45 ","$6,458,217 ",?,?
991,e-Money NGM,$0.09 ,-0.20%,8.00%,-7.20%,"$136,750 ","$6,429,994 ",?,?
992,TrustPad TPAD,$0.07 ,1.20%,3.70%,2.00%,"$188,666 ","$6,377,974 ","$7,024,965 ",0.91
993,Haven XHV,$0.42 ,-0.20%,2.80%,5.00%,"$38,959.11 ","$6,366,735 ",?,?
994,Permission Coin ASK,$0.00 ,-0.30%,-1.50%,0.60%,"$30,460.56 ","$6,347,684 ",?,?
995,Crypto Unicorns Rainbow RBW,$0.05 ,0.10%,-0.70%,-1.30%,"$13,346.58 ","$6,347,672 ","$51,892,637 ",0.12
996,Netvrk NTVRK,$0.15 ,-0.20%,-0.50%,-9.90%,"$108,349 ","$6,296,338 ","$15,072,079 ",0.42
997,Waltonchain WTC,$0.21 ,1.80%,1.90%,11.80%,"$541,213 ","$6,282,641 ",?,?
998,DogeGF DOGEGF,$0.00 ,-0.10%,-9.20%,9.70%,"$31,807.17 ","$6,271,887 ","$23,510,093 ",0.27
999,Octus Bridge BRIDGE,$1.00 ,0.50%,-1.40%,-8.90%,"$6,611.61 ","$6,255,423 ","$13,948,153 ",0.45
1000,SUKU SUKU,$0.05 ,-0.10%,-1.60%,-9.40%,"$657,204 ","$6,241,766 ","$78,578,743 ",0.08
